symbol,feed_id_hex,asset_type
Commodities.NGDN6/USD,0x1c597df8d6db7b35d20eb6ca5430e462425eddfe84ebc63530118d7389a43318,Commodities
Commodities.NGDQ6/USD,0x3ea3adf4dfa7eed79e357c9bdf8a15c6d4dc8fb5454cf71110c73390fb230436,Commodities
Commodities.NGDU6/USD,0x8805823f20690f7b1b138d912a1e6988dca4ed166c813118f8d05cbf00d61dce,Commodities
Commodities.NLG6/USD,0x5e1070b57b380af4a35231dba9e962f6f7487c752a74ace8c067c3af70d7b253,Commodities
Commodities.NLH6/USD,0xf58cae2e4e3fac1357f89bd102fbba31a1be0272798c1db53c17347dc181d370,Commodities
Commodities.NLJ6/USD,0x5055b213bdea9be04fb2b55064751560152f1e7c80c82bce26300a72c2a75f73,Commodities
Commodities.PDH6/USD,0x340362ee9ecc049e80627b050f45694d39d8f85b04de24798f70af41a3a16986,Commodities
Commodities.PDM6/USD,0xfa8d6ce02e9310b6b3ff37bef69b136921eeea4c67cc131e23268a4c6aab72ab,Commodities
Commodities.PDU6/USD,0x642a2a601c87c0b5689e0b649cbf6a7ab188edbed3a3ab4efe77abf77d0ef9a0,Commodities
Commodities.PTJ6/USD,0x8ecd88da6dc67b6385d9f8afbea0aebc85db89a9c93a24804c6b327da4bf95b5,Commodities
Commodities.PTN6/USD,0xe7c66e9aac3b5ea0b4e9051472a7bcdec2edfaa743697eaca85741fcdc5c8b2e,Commodities
Commodities.PTV6/USD,0x54a5a2a245da9b9188e4b448a7d35d7503adb660648ca108339e221cbb22e92a,Commodities
Commodities.RSH6/USD,0x6a6dddec2580c6a0f9237350aaf832957c416ac35bc551dea196f9de7c0aef64,Commodities
Commodities.RSK6/USD,0x5f042335ca301fd60937721c36d5f1e320155f7a8e65958d49102b342761ec96,Commodities
Commodities.RSN6/USD,0x0bd82229bc26af207a17c24949bf1a2ed70600377adada64597ca418028777f5,Commodities
Commodities.SOK6/USD,0x088ad7faab5ba9f7c27dae685a1340dd916a583c492e2d66b08dad49d9d79811,Commodities
Commodities.SON6/USD,0x0d03b648a12b297160e2fdce53cd643d993f7ade4549f8e91ec6e593cc085c21,Commodities
Commodities.SOQ6/USD,0x34079575bedf0efb5648f7385b5e4242b3d9bab214049f059b630618d02dbe6f,Commodities
Commodities.SOU6/USD,0x6166cc35fc143015084c2814bfff87cf21bea4dfc231676bc843496c1cfcf239,Commodities
Commodities.SOX6/USD,0x20b5c568be5e8ac92de4db32c0353bf3d85104d2fd2954fe8cd62e6b59ff2516,Commodities
Commodities.TGEK6/EUR,0x781b24f08e40d27142f2c4a7287ec337f707efbf4b92f6dd8d1b795f91bbd832,Commodities
Commodities.TGEM6/EUR,0xe2707fece1b92542caf541c23e8e8feb3e67d7cc837992c5017efb7764e373f3,Commodities
Commodities.TGEN6/EUR,0xafe0ab1998fc6204690c941cc0f78a57aaff15d9ab22a11e504b79deb97a5953,Commodities
Commodities.TGEQ6/EUR,0xc45c94d2390175b5e8b47497e63af2e2b5036c716eb448629c4a23312cf73488,Commodities
Commodities.TGEU6/EUR,0xf7e3e0907ac5471a4af23ca5a7662db2506fb97c6164b03273c4c77d2cf25aab,Commodities
Commodities.TGEV6/EUR,0x08091cec13e9f3888d078444fe13d2d5d6e169dad606bbca8a0542c080b5ed57,Commodities
Commodities.TGEZ6/USD,0x55888d2fa8f9f35656e4209aa7ee1b3d32db7b2eddb84b9d0e344a00660f8625,Commodities
Commodities.TIH6/USD,0x3c9d8e2de11a40a33c6e46f33e16265606abbe542dd00db72d9885d5c498b963,Commodities
Commodities.TIM6/USD,0x4a7c532952fed05460501086a0293b44c6e8b78c863e93878b3602fb88203b80,Commodities
Commodities.TIU6/USD,0xcc023ee1359ce903eefd0d7ed31d00038b2c14721486669a24957b1a3ee6b5d0,Commodities
Commodities.UKOILSPOT,0x27f0d5e09a830083e5491795cac9ca521399c8f7fd56240d09484b14e614d57a,Commodities
Commodities.URG6/USD,0xcde5ae55ddfe9e7d5f75019e86506f59cb29b07249a3ad1a20924edecf767b97,Commodities
Commodities.URH6/USD,0xe89181f85868042f2da8358ebac02e1223cb0db2580d42db123d7ba1319ecbd3,Commodities
Commodities.URJ6/USD,0xbb14197492ff63d6f3ad1e19d6827b43097c72ded09ed729cb97cbfeec525b4f,Commodities
Commodities.USOILSPOT,0x925ca92ff005ae943c158e3563f59698ce7e75c5a8c8dd43303a0a154887b3e6,Commodities
Commodities.WHK6/USD,0xa2c8737267dbe6118b2fc7f081484141a25f2753b19b3b5b0968ac3f05657a0c,Commodities
Commodities.WHN6/USD,0x42430baf6ddd312bb4584dd3a39f1c80c29a28dcf0ddccb083b2ea6abfcb7825,Commodities
Commodities.WHU6/USD,0x3b7340060c669c19f9285fab57649ac27a7c332eccaaf2d18e1db3a9c9c26141,Commodities
Commodities.WHZ6/USD,0x3f4760e9dcbaa7208a1d72af7edb1642681a48473c33100ee4e85aebf9a1b80f,Commodities
Commodities.WTIF6/USD,0x0f402711648215fd68b3ac1deafc9f7edd072d59fbfd0ac720c723d048e64908,Commodities
Commodities.WTIG6/USD,0x7e91242dfd2cea64715b26edaa3e51bafc712a56ac4228a77bd53b51fd66db52,Commodities
Commodities.WTIH6/USD,0x0058c6f03fd28b18083d00fcdc3baaed2f11edef8b981f6b74130b85be474b17,Commodities
Commodities.WTIJ6/USD,0x6a60b0d1ea6809b47dbe599f24a71c8bda335aa5c77e503e7260cde5ba2f4694,Commodities
Commodities.WTIK6/USD,0x40d9903bd7a727ad128c89fca177d77d0175de6ea5c789a81473bf17bad64b39,Commodities
Commodities.WTIM6/USD,0x5519b89cd7b80d074113aae5d6555ddd74469222e331d9edc182c68153cf27b1,Commodities
Commodities.WTIN6/USD,0xce4c15100156d27c8bdd044d9804294e7bc0944dbb5b2b82a61a7aa85b6b3a5e,Commodities
Commodities.WTIQ6/USD,0x05e7c9b556df67e455c52ea2d31658744e3f4ade60db7dab887008844f2ae472,Commodities
Commodities.WTIU6/USD,0x17d0b3b03f9ccb6bb6721960f034b8601b3d89ef70743b33f86304a1565cebda,Commodities
Commodities.WTIV6/USD,0x9526e04755ebaed86733913b84fe14db4ea165da8f40f97710014cd877fe545b,Commodities
Commodities.WTIX6/USD,0xf8c2191e76f7f4d5335e7f4e8f81ab0df6360d54ee020874222841894203e9d7,Commodities
Commodities.WTIZ5/USD,0x0c62848c8afee091f2c132eef944e3075c6de476129efc872a4202d81ca34f99,Commodities
Commodities.WTIZ6/USD,0x0a76185a3bd608f10216036ee37140112c1c296d4cba31c4e2822f44e8dc0433,Commodities
Crypto.0G/USD,0xfa9e8d4591613476ad0961732475dc08969d248faca270cc6c47efe009ea3070,Crypto
Crypto.1INCH/USD,0x63f341689d98a12ef60a5cff1d7f85c70a9e17bf1575f0e7c0b2512d48b1c8b3,Crypto
Crypto.2Z/USD,0xf2b3ab1c49e35e881003c3c0482d18b181a1560b697b844c24c8f85aba1cab95,Crypto
Crypto.4/USD,0xa92ee5b5fdefab122adba627d07ff1720e5d65729f7a81b7d2d6244f869c9ea2,Crypto
Crypto.A/USD,0x2cffc28ec4268805dbcb315bb122616059a1c200dda3d56f06ac150db8dfc370,Crypto
Crypto.AAPLX/AAPL.RR,0x25babb83691a056fd65f879bfd7197eabd840aae741f69c87ccb31e204a979b2,Crypto Redemption Rate
Crypto.AAPLX/USD,0x978e6cc68a119ce066aa830017318563a9ed04ec3a0a6439010fc11296a58675,Crypto
